Title,Path,Page Type,Meta Title,Meta Description,Category,Date,Last edited time,Meta Keywords,Next Page,Previous Page,Publish,Tag,order
🎨 Formatters: Overview,,,,"If you enter some text in the box, any factors in the map whose labels contain that text will be coloured red.",4: Analysis,,"March 24, 2025 10:29 AM",filters; formatters; colours; red; labels; opposites,,,Yes,formatters,870
🎨 Formatters: Link label position,,,,"If you enter some text in the box, any factors in the map whose labels contain that text will be coloured red.",4: Analysis,,"March 24, 2025 10:30 AM",filters; formatters; colours; red; labels; opposites,,,Yes,formatters,880
🎨 Formatters: Labels,,,,"How can we compare different groups like districts, gender or questionnaire sections, within maps?",4: Analysis,,"March 24, 2025 10:30 AM",formatters; tally; groups; links; surprise; labels,,,Yes,formatters,890
🎨 Formatters: Labels - Tally,,,,"How can we compare different groups like districts, gender or questionnaire sections, within maps?",4: Analysis,,"March 24, 2025 10:30 AM",formatters; tally; groups; links; surprise,,,Yes,formatters,900
🎨 Formatters: Labels - Surprise,,,,"How can we compare different groups like districts, gender or questionnaire sections, within maps?",4: Analysis,,"March 24, 2025 10:33 AM",filters; formatters; surprising links; surprise; map,,,Yes,formatters,910
🎨 Formatters: Sizes,,,,"How can we compare different groups like districts, gender or questionnaire sections, within maps?",4: Analysis,,"March 24, 2025 10:33 AM",formatters; tally; groups; links; surprise,,,Yes,formatters,920
🎨 Formatters: Colour factor text red,,,,"How can we compare different groups like districts, gender or questionnaire sections, within maps?",4: Analysis,,"March 24, 2025 10:34 AM",formatters; tally; groups; links; surprise,,,Yes,formatters,930
🎨  Formatters: Translation,,,,"How can we compare different groups like districts, gender or questionnaire sections, within maps?",4: Analysis,,"March 24, 2025 10:34 AM",formatters; tally; groups; links; surprise,,,Yes,formatters,940
🎨 Formatters: Colour links,,,,"If you enter some text in the box, any factors in the map whose labels contain that text will be coloured red.",4: Analysis,,"March 24, 2025 10:34 AM",filters; formatters; colours; red; labels; opposites,,,Yes,formatters,950
🎨 Formatters: Colour factors,,,,"If you enter some text in the box, any factors in the map whose labels contain that text will be coloured red.",4: Analysis,,"March 21, 2025 11:33 AM",filters; formatters; colours; red; labels; opposites,,,Yes,formatters,1250
🎨 Formatters: Label wrapping,,,,"If you enter some text in the box, any factors in the map whose labels contain that text will be coloured red.",4: Analysis,,"March 21, 2025 11:33 AM",filters; formatters; colours; red; labels; opposites,,,Yes,formatters,1260
🎨 Formatters: Factor spacing,,,,"If you enter some text in the box, any factors in the map whose labels contain that text will be coloured red.",4: Analysis,,"March 21, 2025 11:33 AM",filters; formatters; colours; red; labels; opposites,,,Yes,formatters,1270
📊Tables tab overview,,,,This table counts factors differently to the mentions table as it counts links rather than individual factor mentions.,4: Analysis,,"March 21, 2025 11:33 AM",links table; presets; fields,,,Yes,specific-tables,1280
🔗 The Links Table,,,,This table counts factors differently to the mentions table as it counts links rather than individual factor mentions.,4: Analysis,,"March 21, 2025 11:33 AM",links table; presets; fields,,,Yes,specific-tables,1290
👥 The Sources Table,,,,"The sources table, when there are no filters applied or when viewing the preset filter Sources (basic), simply lists all of the respondents and any additional data collected about them (sex, age, location, education).",4: Analysis,,"March 21, 2025 11:33 AM",sources table; transforms filter; statements filter; fields,,,Yes,specific-tables,1300
📊 The Factors table,,,,The factors table presents the factors applied during coding.,4: Analysis,,"March 21, 2025 11:34 AM","factors table; betweenness; in_degree; out_degree; codebook; ",,,Yes,specific-tables,1310
📜 The Statements Table,,,,"This table makes searching for a specific statement easy. ",4: Analysis,,"March 21, 2025 11:34 AM",statements table; search; fields,,,Yes,specific-tables,1320
💬 The Mentions Table,,,,This table is useful when looking at how many times factors have been mentioned in links.,4: Analysis,,"March 26, 2025 8:21 AM",mentions table; links; influence; consequence; count,,,Yes,specific-tables,1330
⚒️ The Closed Question Blocks Table,,,,The closed question table provides a summary of the responses to the closed questions asked at the end of each QuIP questionnaire domain.,4: Analysis,,"March 21, 2025 11:34 AM","closed question table; QuIP; questionnaire; ",,,Yes,specific-tables,1340
❓ The Questions Table,,,,"This table displays the text, ID, memo and map id for every question included in the questionnaire.",4: Analysis,,"March 21, 2025 11:34 AM",questions table; transforms filter; statements filter; fields; map,,,Yes,specific-tables,1340
📕 Comparisons,,,,The Library allows you to save and share views of your data.,4: Analysis,,"March 21, 2025 11:35 AM","comparing maps; groups; filtering; ",,,Yes,Theory,1350
